project,city,state
mount clemens,mount clemens,mi
code enforcement proj,auburn,me
galvin industrial park,richmond,ca
diane flood area,easton,pa
neighborhood dev prog,los angeles county,ca
central bus dist (gn),oklahoma city,ok
code enforcement proj,east brunswick twp,nj
downtown (gn),colton,ca
malecon,mayaguez,pr
neighborhood dev prog,huntsville,tn
elmwood park area,olivette,mo
columbia avenue,franklin,tn
downtown gnrp,pine bluff,ar
roosevelt-clinton,chicago,il
demolition project,indianapolis,in
ridgely (gn),ridgely,tn
interim asst prog,detroit,mi
juniata,altoona,pa
downtown no 2,newport news,va
code enforcement proj,fresno,ca
school-franklin,boston,ma
central business dist,sharon,pa
lock haven dis area,lock haven,pa
parkway plaza (fs),napa,ca
west central,albion,mi
high st,evansville,in
seward park ext,new york,ny
central (gn),elkhart,in
lower loop,minneapolis,mn
downtown no 1,anchorage,ak
code enforcement proj,latarobe,pa
neighborhood dev prog,glen cove,ny
community renewal prog,montgomery county,md
court ave (fs),memphis,tn
valdez area,valdez,ak
dewey a,waco,tx
buttermilk bts-bl (gn),atlanta,ga
mount olivet,philadelphia,pa
n coventry dis area,north coventry,pa
glastonbury center,glastonbury,ct
south pittson,pittston,pa
adams-musser tns (gn),lancaster,pa
central,nyack,ny
fair haven,new haven,ct
mainland,daytona beach,fl
downtown (gn),decatur,al
hanger hill,little rock,ar
downtown (gn),olean,ny
code enforcement proj,hoboken,nj
gadsby commercial ph 1,alexandria,va
newark college expansn,newark,nj
demonstration project,baltimore,md
point pleasant,point pleasant,wv
south central,new britain,ct
south hill,tuscumbia,al
amoskeog millyard,manchester,nh
downtown (gn),boston,ma
downtown no 2,little falls,ny
maple avenue no 1,barnesboro,pa
community renewal prog,stillwater,ok
butterfield west (gn),springdale,ar
s e sheffield (gn),sheffield,al
code enforcement proj,middletown,ny
community renewal prog,el paso,tx
community renewal project,waltham,ma
south annex,mcgehee,ar
central bus dist,port jervis,ny
gates park,hartford,vt
interim asst prog,harford,ct
encina,sunnyvale,ca
south derby (gn),east hartford,ct
river bend,youngstown,oh
code enforcement proj,pittsburg,ca
demonstration project,harrisburg,pa
buenos aires,san juan,pr
neighborhood dev prog,berkeley,ca
demolition project,asbury park,nj
saint lukes,philadelphia,pa
certified area prog,pass christian,ms
code enforcement proj,san francisco,ca
conservation proj 1,mishawaka,in
rosehill,springfield,tn
lincoln square,new york,ny
georgetown no 1,hopkinsville,ky
community renewal prog,franklin,tn
code enforcement proj,akron,oh
interim asst prog,catano,pr
central (fs),diamond,mo
south ave,mount clemens,mi
charlestown,boston,ma
code enforcement proj,merced,ca
fort sanders (fs),knoxville,tn
north park,long beach,ny
summer hill,cartersville,ga
goat island,newport,ri
plymouth twp no 2,plymouth twp,pa
kinderpark,manmouth,or
downtown,corona,ca
neighborhood dev prog,fort wayne,in
west side,new york,ny
northern canal,lowell,ma
triangle,somersworth,nh
neighborhood dev prog,haverhill,ma
westfield-virden,waterloo,ia
henderson st,jersey city,nj
seventh st,danville,ky
central business dist,gastonia,nc
atlantic terminal,new york,ny
bank st plaza,decatur,al
coliseum,little rock,ar
wellsburg,watervliet,ny
north shore,pittsburgh,pa
neighborhood dev prog,eureka,ca
marie pl renewal area,maplewood,nj
neighborhood dev prog,massilon,oh
crescent-court,brockton,ma
demolition project,darby twp,pa
hunters point,san francisco,ca
neighborhood dev prog,smithville,mo
murphy (gn),saint louis,mo
old louisville rest area gnrp 11,louisville,ky
saint botolph st,boston,ma
west side-mine fire,carbondale,pa
downtown northwest,tulsa,ok
brooklyn sec 5,charlotte,nc
salisbury-grove,brockton,ma
roosevelt-halsted no 1,chicago,il
neighborhood dev prog,manhattan,ks
neighborhood dev center,san antonio,tx
brooklyn sec 1,charlotte,nc
code enforcement proj,columbus,ms
el monte,san juan,pr
spadra park,clarksville,ar
west main st,norwich,ct
vaughan st,portsmouth,nh
community renewal prog,buffalo,ny
laurel st,alexander city,al
north hill no 2,springfield,oh
brooklyn,arroyo,pr
long branch cr indus,ashland,ky
maryland ave,tampa,fl
central bus dist,batesville,in
"project area ""e""",niagara falls,ny
hazle st,wilkes barre,pa
broadway,west new york,nj
river heights no 1,danville,il
beacon (gn),beacon,ny
linden school,south bend,in
logan road,cullman,al
civic center,lawton,ok
inner harbor no 2,baltimore,md
central bus dist (fs),piedmont,al
community renewal project,altoona,pa
community renewal prog,norwich,ct
neighborhood dev prog,louisville,co
governmental complex,baton rouge,la
community renewal prog,spokane,wa
boise downtown (gn),boise,id
heights,wilkes barre,pa
