project,city,state
neighborhood dev prog,phoenix,az
neighborhood dev prog,camden,ar
demonstration project,cincinnati,oh
central,white plains,ny
project no 1,junction city,ar
oglethorpe plaza,savannah,ga
weybosset hill,providence,ri
ford-middlebelt rd 1,garden city,mi
69th-stewart,chicago,il
central area,duluth,mn
queen city no 1,mercedes,tx
neighborhood dev prog,glens falls,ny
southwest,inkster,mi
code enforcement proj,athens,ga
central area,rockford,il
tornado,monroe,wi
la salle park,saint louis,mo
government com-pt dist,port arthur,tx
neighborhood dev prog,pottstown,pa
downtown,reedsport,or
code enforcement proj,east orange,nj
highland hills no 2,greeneville,tn
central bus dist,hoquiam,wa
university center,nashville,tn
east manahan,muskegon heights,mi
garfield school,mexico,mo
community renewal prog,peekskill,ny
barbour-charlotte sts,harford,ct
wayne-beverly (gn),romulus twp,mi
northeast (fs),metter,ga
demonstration project,new orleaans,la
southwick no 2,louisville,ky
tazewell 1,tazewell,tn
downtown (gn),wayne,mi
code enforcement proj,palm springs,ca
shaw school,washington,dc
neighborhood dev prog,cumberland,nc
el hoare/the hoare,san juan,pr
highland-hyde park,niagara falls,ny
woodlawn ave,bristol,tn
court square,kosciusko,ms
demolition project,providence,ri
interim asst prog,eagle pass,tx
oklahoma,decatur,al
riverview industrial,saint paul,mn
pleasant park,adams,ma
business district,clementon,nj
virginia park rehab,detroit,mi
mt hermon,portsmouth,va
east central,oswego,ny
demolition project,independence,mo
lower smith st,perth amboy,nj
rose city,thomasville,ga
community renewal prog,zanesville,oh
west side (gn),albion,mi
pueblo nuevo,anasco,pr
community renewal prog,wichita,ks
pleasant valley,lawton,ok
westwood ave ur proj,westwood,nj
community renewal prog,pueblo,co
downtown (fs),pikeville,ky
central waco (gn),waco,tx
hensley industrial,richmond,ca
university court,university city,mo
area #1,paris,ar
morningside (gn),new york,ny
meadow park,torrance,ca
neighborhood dev prog,rochester,ny
community renewal prog,wilkes barre,pa
east first st,rome,ga
quittaphilla,lebanon,pa
demolition project,jersey city,nj
demolition project,hanover twp,pa
mechanicville u r area,mechanicville,ny
central bus dist,willimantic,ct
west berkeley indus pk,berkeley,ca
2nd ward-pecks add,hamilton,oh
parkside east,bowling green,ky
west calumet area no 2,east chicago,in
soundview,old lyme,ct
eastern ave,springfield,ma
town center,south pittsburg,tn
code enforcement proj,jackson,mi
continental square,york,pa
project no 1,lansing,mi
first renewal project,grand forks,nd
pride (gn),lawton,ok
kingston dis area,kingston,pa
head-of-falls,waterville,me
mill st,plymouth,mi
watts no 1,los angeles,ca
community renewal prog,gloucester city,nj
municipal center,phenix city,al
broad st,ansonia,ct
neighborhood dev prog,monticello,ny
capitol hill,nashville,tn
carioca,guayama,pr
neighborhood dev prog,st albans,wv
central bus dist (gn),mishawaka,in
courtland plaza,east stroudsburg,pa
iron triangle,wilkes barre,pa
rangerville no 1,harlingen,tx
vista verde,san antonio,tx
theo j mcgee park,columbus,ga
mahoning e civic comp,punxsutawney,pa
southeast ura,ketchikan,ak
neighborhood dev prog,merriam,ks
community renewal prog,taunton,ma
southgate,donora,pa
community renewal prog,worcester,ma
seaside-rockaway,new york,ny
neighborhood dev prog,ossining,ny
neighborhood dev prog,roosevelt city,al
code enforcement proj,tarboro,nc
south donna no.1,donna,tx
code enforcement proj,los angeles county,ca
waverly,baltimore,md
woodlawn,atchison,ks
cadman plaza,new york,ny
redevelopment no 1,columbus,in
first ward,new kensington,pa
community renewal prog,aurora,co
auroria,denver,co
neighborhood dev prog,longmont,co
community renewal prog,north las vegas,nv
market-henry,wooster,oh
texas st (gn),mobile,al
shorter college,north little rock,ar
neighborhood dev prog,sloatsburg,ny
river view,algonac,mi
demonstration project,saint louis,mo
neighborhood dev prog,fresno,ca
church st,winston-salem,nc
lake como,fort worth,tx
oak center,oakland,ca
riverview,holyoke,ma
yellowhouse area,lubbock,tx
winterhalter area,dayton,oh
demonstration project,cleveland,oh
ketchikan creek,ketchikan,ak
code enforcement proj,sarasota,fl
madision pike-ninth ave,huntsville,al
community renewal prog,pittsfield,ma
meacham park area,saint louis county,mo
tijeras n(ge),albuquerque,nm
college avenue no 3,philadelphia,pa
bolivar arms,columbus,oh
pratt st,philadelphia,pa
riverfront,fort dodge,ia
neighborhood dev prog,paterson,nj
flood renewal area,waterbury,ct
community renewal prog,albuquerque,nm
neighborhood dev prog,jefferson county,ky
neighborhood dev prog,clinton,nc
cedar east,scranton,pa
alpha,newbern,tn
neighborhood dev prog,olney,tx
code enforcement proj,washington,dc
joseph rogers heights,rogersville,tn
demonstration project,detroit,mi
neighborhood dev prog,middletown,oh
neighborhood dev prog,beloit,wi
huntington sta no 1,huntington,ny
neighborhood dev prog,toledo,oh
demonstration project,sacramento,ca
kenyon-barr I,cincinnati,oh
community renewal prog,hamilton,oh
east harlem tri (fs),new york,ny
central,elgin,il
bradley school area,murfreesboro,tn
code enforcement proj,el cerrito,ca
community renewal prog,niagara falls,ny
east utica (gn),utica,ny
neighborhood dev prog,oakland,ca
southside (gn),russellville,ar
belden,jackson,mi
forest park,detroit,mi
neighborhood dev prog,fort pierre,sd
niagara-young sts,tonawanda,ny
washington school area,laporte,in
neighborhood dev prog,brenham,tx
greer ur area,saint louis,mo
whitman,philadelphia,pa
highland,gastonia,nc
williamsburg,new york,ny
breastworks hills (fs),pineville,ky
northeast,harrisonburg,va
community renewal prog,waco,tx
sheldon-charter oak,harford,ct
russel park,denver,co
eastside (gn),milwaukee,wi
central bus dist,salisbury,md
granite mountain,little rock,ar
soundview,new york,ny
code enforcement proj,modesto,ca
central stoneham (gn),stoneham,ma
maso-davis proj,vacaville,ca
riverfront,savannah,ga
model city 1,des moines,ia
code enforcement proj,dayton,oh
neighborhood dev prog,trumann,ar
point st,providence,ri
east campus,eugene,or
civic center,birmingham,al
west dallas (fs),dallas,tx
froebel neighborhood,muskegon,mi
neighborhood dev prog,eufaula,al
washington sq e no 3,philadelphia,pa
apollo plaza,apollo,pa
salina g n r area (gn),saginaw,mi
lawton view (gn),lawton,ok
downtown,waynesboro,va
yuba city (fs),yuba,ca
station plaza,park ridge,nj
central bus dist,crestline,oh
neighborhood dev prog,lawrenceburg,tn
inwood,hempstead town,ny
mcfadden,murfreesboro,tn
code enforcement proj,kingston,ny
cathedral no 1,saint paul,mn
lincoln (fs),carbondale,il
downtown,windsor locks,ct
north dundee,passaic,nj
central (gn),council cluffs,ia
olivette,olivette,mo
demolition project,reading,pa
malden industrial park,malden,ma
elkhart central no 1,elkhart,in
community renewal project,yonkers,ny
lower 3rd ward,milwaukee,wi
north harlem,new york,ny
edgefield,waco,tx
gay st no 1,baltimore,md
a st proj,south norfolk,va
neighborhood dev prog,cortland,ny
neighborhood dev prog,springfield,tn
rainbow center (gn),niagara falls,ny
community renewal prog,newton,ma
north harvard,boston,ma
westside (fs),las vegas,nv
downtown,boaz,al
front st,tupelo,ms
college neighborhood,carbondale,il
main st,fort wayne,in
central district no 2,boise,id
french creek,meadville,pa
new york st,aurora,il
newhallville,new haven,ct
south central,helena,mt
neighborhood dev prog,saint louis park,mn
municipal center,vineland,nj
denverside area a,east saint louis,il
artesian,miami,ok
community renewal prog,salt lake city,ut
code enforcement proj,paducah,ky
campau commons no 1,grand rapids,mi
front-talcott,harford,ct
adams-morgan,washington,dc
neighborhood dev prog,blytheville,ar
benton st,pocatello,id
community renewal prog,allentown,pa
torrence pk redevelop,decatur,il
code enforcement proj,boston,ma
hudson st,hoboken,nj
central flood area,danbury,ct
kilbourntown no 1,milwaukee,wi
central (gn),clarksville,ar
moosic school,moosic,pa
lafayette-commercial st,new britain,ct
neighborhood dev prog,grand rapids,mi
river heights (gn),danville,il
code enforcement proj,providence,ri
neighborhood dev prog,high point,nc
washington square,new york,ny
neighborhood dev prog,henderson,nc
central bus dist no 1,wayne,mi
willocks,perth amboy,nj
capital plaza north,concord,nh
community renewal project,mount vernon,ny
crescent city,crescent city,ca
neighborhood dev prog,long beach,ny
macon coliseum (gn),macon,ga
w pittson dis area,west pittson,pa
trinidad jr college,trinidad,co
independence plaza,kansas city,mo
community renewal prog,harford,ct
rapid trans corr (gn),san francisco,ca
downtown,amherst,oh
court ave no 1,memphis,tn
downtown,coldwater,mi
downtown south,hazleton,pa
columbus circle housing area,new york,ny
code enforcement proj,pasadena,ca
municipal square,west orange,nj
neighborhood dev prog,luzerne bor,pa
demolition project,chicopee,ma
broad st-beauregaro,mobile,al
demolition project,weirton,wv
liberty st,south norfolk,va
riverview,toledo,oh
summers st blvd,charleston,wv
neighborhood dev prog,lees summit,mo
keyway center,topeka,ks
beech st,louisville,ga
neighborhood dev prog,fulton,ny
bloomsburg disaster 2,bloomsburg,pa
parkview,cookeville,tn
code enforcement proj,galveston,tx
neighborhood dev prog,atlanta,ga
industrial river,newark,nj
neighborhood dev prog,beckley,wv
community renewal prog,corinth,ms
portland state college,portland,or
central lawrence (gn),lawrence,ma
demolition project,altoona,pa
east haddam no 1,east haddam,ct
quinebaug,putnan,ct
neighborhood dev prog,tuscaloosa,al
mount union flood dis,mount union,pa
brookside,wilkes barre,pa
central core (gn),grand rapids,mi
orond village,orono,me
mary treglia,sioux city,ia
medical college of ga,augusta,ga
neighborhood dev prog,joplin,mo
bloomfield ave,glen ridge,nj
albina neighborhood,portland,or
strawberry st,demopolis,al
west end (gn),atlanta,ga
demostration project,chicago,il
neighborhood dev prog,shelby,nc
east riverside,asheville,nc
north chicago no 1,north chicago,il
northwest parkway,independence,mo
kramer ave,saint clair shores,mi
west whitesburg,whitesburg,ky
code enforcement proj,winooski,vt
neighborhood dev center,mission,tx
community renewal prog,detroit,mi
rawson-washington,atlanta,ga
blackshear,austin,tx
code enforcement proj,kingsville,tx
anacortes indus park,anacortes,wa
north plaza (gn),cairo,il
welborn medical center,evansville,in
better days,titusville,pa
kenwood north,san antonio,tx
neighborhood dev prog,leavenworth,ks
downtown,brawley,ca
park plaza a,wichita,ks
independence mall no 3,philadelphia,pa
neighborhood dev prog,cedartown,ga
neighborhood dev prog,tampa,fl
jackson square,independence,mo
potter (gn),edison twp,nj
code enforcement proj,minneapolis,mn
downtown,deklab,il
north side,east chicago heights,il
community renewal prog,cleveland,oh
hamilton prospect no 1,sioux city,ia
east central,high point,nc
mckeesport flood dis,mckeesport,pa
madison-lathrop,canton,oh
juan veramendi (gn),san marcos,tx
code enforcement proj,bayonne,nj
gateway center,minneapolis,mn
demolition project,ilion,ny
code enforcement proj,flint,mi
feltsville,taylor,pa
thompson ave,moundville,wv
lake st,white plains,ny
bower-mosher 2,holyoke,ma
raupp no 1,lincoln park,mi
king st,linden,al
common-valley-concord,lawrence,ma
woodburn court,binghamton,ny
southeastern no 3,douglas,ga
gar area,wilkes barre,pa
washington st,pottsville,pa
neighborhood dev prog,denver,co
tenth ave,altoona,pa
demolition project,butte,mt
neighborhood dev prog,boyertown,pa
south main st,crookston,mn
atlantic highlands,atlantic highlands,nj
demolition project,hudson,ny
university center,atlanta,ga
north flats no 3,sharon,pa
brooklyn bridge s w,new york,ny
sun city (gn),alma,ga
east ghent,norfolk,va
n w temple-tmpl u no 2,philadelphia,pa
northern lights,anchorage,ak
ybor city,tampa,fl
neighborhood dev prog,richmond,ky
code enforcement proj,syracuse,ny
la placita,caguas,pr
golden days,titusville,pa
butler st,bethlehem,pa
village center area,island park,ny
neighborhood dev prog,charlotte,nc
beale st,memphis,tn
industrial way ngh,longview,wa
center st,north adams,ma
barrio anasoo,guayanilla,pr
neighborhood dev prog,hugo,ok
forsyth st (gn),americus,ga
east pittsburgh,east pittsburgh,pa
warnersville no 3,greensboro,nc
juana matos,catano,pr
norwich no 1,norwich,ny
south second st,plainfield,nj
chautauqua hill,san marcos,tx
demolition project,jacksonville,fl
blake st,denver,co
area no 7,baltimore,md
town creek,gallatin,tn
connerton village,butler twp,pa
mid-city (gn),greenville,nc
king st ur area,kinston,nc
huntersville,norfolk,va
riverside (fs),winooski,vt
research park west,detroit,mi
water st b,pottstown,pa
community center no 1,michigan city,in
emanuel hospital,portland,or
university of sc ext,columbia,sc
bluffs centrer 1,council cluffs,ia
berea center,berea,oh
bruce st,lithonia,ga
community renewal prog,saint louis,mo
baylor no 1a,waco,tx
town sqaure no 1,jacksonville,il
waterfront,gloucester,ma
community renewal prog,hot springs,ar
demolition project,new york,ny
community center,terre haute,in
central square,galesburg,il
black bottom,union city,tn
transportation center,atlantic city,nj
community renewal prog,dallas,tx
neighborhood dev prog,portland,me
project no. 1,duquesne,pa
ruckerville,paris,ky
east glenooe,columbia,sc
bridge st,hampton,va
hill st,newark,nj
demolition project,newark,nj
eastgate-westgate ngh,university city,mo
elm park,worcester,ma
maine ave-downtown,hickory,nc
wellington no 1,york,pa
neighborhood dev prog,cordele,ga
bluff plaza (gn),joliet,il
center city east society hill,philadelphia,pa
neighborhood dev prog,muskogee,ok
demolition project,corpus christi,tx
rhea town no 1,morristown,tn
northwest second st,moultrie,ga
code enforcement proj,prince georges county,md
central bus dist no 1,glens falls,ny
downtown bus dist,east grand forks,mn
xenia redev proj no 1,xenia,oh
downtown (gn),lees summit,mo
ellicott district,buffalo,ny
southwest columbus,columbus,ga
town square,prestonsburg,ky
central area,saint cloud,mn
la playa no 4,arecibo,pr
downtown,mckeesport,pa
hollow,uniontown,pa
windsor street,harford,ct
corridor,oakland,ca
downtown-east,norfolk,va
era 72,erwin,ny
glenwood ave,dublin,ga
east medow,stamford,ct
shaws cove,new london,ct
university of md no 1,baltimore,md
commerce-water sts,norwich,ct
copper addition,garland,tx
neighborhood dev prog,tullahoma,tn
peacook hill,scranton,pa
mill st,danville,pa
morningside heights,new york,ny
public square proj,lima,oh
thirteenth st,franklin,pa
community renewal prog,kewanee,il
hanna creighton (gn),fort wayne,in
knights addition,stockton,ca
6a connector,meriden,ct
san felipe,humacao,pr
hospital district (fs),oklahoma city,ok
west decatur rehab,decatur,al
north central,gloucester,ma
interim asst prog,baltimore,md
childrens hospital,columbus,oh
neighborhood dev prog,bay minette,al
university city (gn),detroit,mi
renewal area 3,cincinnati,oh
columbia grge ctr (fs),cascade locks,or
village center (gn),tarrytown,ny
neighborhood dev prog,vineland,nj
downtown parsons,parsons,ks
broad street,beverly,nj
conservation project,kingsford heights,in
strawberry mansn no 1,philadelphia,pa
new salem st,worcester,ma
independence mall no 1,philadelphia,pa
wilkinsburg center,wilkinsburg,pa
community renewal prog,grand prairie,tx
demonstration project,corinth,ms
south shore (fs),miami beach,fl
neighborhood dev prog,evansville,in
zacatre area,laredo,tx
main st,lodi,nj
spencer-sharples no 1,lucas county,oh
valley center,turtle creek,pa
ocean view,imperial beach,ca
monroe place area,kilkwood,mo
westview (mc),mcalester,ok
tyler park,paducah,ky
oakland (gn),pittsburgh,pa
hannon,seaside,ca
argentine heights (gn),kansas city,ks
lebanon business dist,lebanon,nh
amory project (gn),amory,ms
project a,anderson,in
first ward,mckeesport,pa
demolition project,lowell,ma
junior college,rockville,md
neighborhood dev prog,latarobe,pa
neighborhood dev prog,beeville,tx
certified area prog,albuquerque,nm
monterey (open land),south pasadena,ca
saxonville area 1,framingham,ma
yerba buena center,san francisco,ca
liberty pole green,rochester,ny
high st,nashua,nh
community renewal prog,muskegon heights,mi
central bus dist no 1,belleville,mi
t-1 area,amory,ms
neighborhood dev prog,hoboken,nj
broad st-canal no 1,savannah,ga
main st (fs),galena,il
west center city,wilmington,de
adams-musser tns proj 2,lancaster,pa
demolition project,charleston,wv
ramsey addition,marianna,ar
neighborhood dev prog,bessemer,al
potters,edison twp,nj
neighborhood dev prog,martins ferry,oh
middle st,bristol,ct
neighborhood dev prog,laurel,ms
demonstration project,watertown,ma
youngstown health ctr,youngstown,oh
gateway,duluth,mn
duboistown dis area,duboistown,pa
interim asst prog,ironton,oh
independence ave,russellville,ar
mitchell neighborhood,denver,co
speedwell ave,morristown,nj
demolition project,rome,ny
east evans st,florence,sc
n.e renewal area,new haven,ct
neighborhood dev prog,danville,ky
eldred flood dis proj,eldred borough,pa
southwest b,washington,dc
pearl st,alexander city,al
neighborhood dev prog,pittsburg,ca
gregory,jersey city,nj
rapid creek fl dis (fs),rapid city,sd
zia,gallup,nm
glenwood,minneapolis,mn
neighborhood dev prog,fayetteville,nc
mount vernon plaza,columbus,oh
palisades plaza,rankin,pa
code enforcement proj,berkeley,ca
neighborhood dev prog,san francisco,ca
rhea town (gn),morristown,tn
harbor way,petersburg,ak
woburn square,woburn,ma
interim asst prog,pittsburgh,pa
central project,smithville,mo
southwest fresno (gn),fresno,ca
bushnell-plaza,harford,ct
northeast gnrp,rochester,ny
allegheny center,pittsburgh,pa
lake-maplewood,chicago,il
university hill (gn),syracuse,ny
pitman ave,pitman,nj
west falls dis area,exeter twp,pa
oregon state u-jeff st,corvallis,or
lynnway-summer,lynn,ma
acker ave,ozark,al
peoria medical center,peoria,il
crawford,portsmouth,va
de shong,chester,pa
inner belt,somerville,ma
hyde park a,chicago,il
elmira college expansion,elmira,ny
depot plaza,tarrytown,ny
north flate,sharon,pa
com ment health ctr,baltimore,md
code enforcement proj,fort yates,nd
central bus dist,laurel,ms
r c denning mem housng,bradford,pa
central texas st,mobile,al
jerome park,denver,co
neighborhood dev prog,nanticoke,pa
university ngh,tuscon,ar
college park,littleton,co
arts center,detroit,mi
dunkirk center,dunkirk,ny
center-ithaca,ithaca,ny
port allegany dis,port alleghany,pa
city centre,camden,nj
lower clinton hill,newark,nj
norge redevelopment,muskegon heights,mi
olive-east sts,bloomington,il
code enforcement proj,winston-salem,nc
center city-south,trenton,nj
code enforcement proj,fort worth,tx
waco finn (mc),wichita,ks
central bus dist,brazil,in
derby ave,seymour,ct
neigborhood dev prog,duluth,mn
pine ridge area,beacon falls,ct
central (fs),south bend,in
interim asst prog,newport,ar
central bus dist no 1,cambridge,md
glenwood no 1,winder,ga
university ave,madison,wi
neighborhood dev prog,ponce,pr
demolition project,hoboken,nj
central olyphant,olyphant,pa
west end (gn),stockton,ca
demonstration project,san antonio,tx
southwick no 1,louisville,ky
first state capitol,saint charles,mo
seneca-susquehanna dis,harrisburg,pa
project d-sec 1 chestnut st,harrisburg,pa
neighborhood dev prog,columbia,sc
north montgomery,montgomery,al
central city,washington,pa
harvard ave no 1,college park,ga
code enforcement proj,cohoes,ny
community renewal prog,lebanon,pa
whippany river,morristown,nj
central city (gn),erie,pa
west plaza,bainbridge,ga
community renewal prog,milwaukee,wi
summit-university,saint paul,mn
community renewal project,racine,wi
community renewal prog,north little rock,ar
neighborhood dev prog,inglewood,ca
hendricks park,tarboro,nc
lincoln ave,bristol bcr,pa
saint nicholas park,new york,ny
neighborhood dev prog,fort smith,ar
park school,michigan city,in
market street,west york,pa
horace mann project,franklin,ma
mountain view (gn),knoxville,tn
neighborhood dev prog,stockton,ca
old town,muscatine,ia
recreo,patillas,pr
east downtown,mount holly twp,nj
community college,port huron,mi
neighborhood dev prog,madison heights,mi
code enforcement proj,quincy,ma
neighborhood dev prog,lumberton,nc
demolition project,storrs,ct
lackawanna west,scranton,pa
dallas ave ur area,selma,al
east stockton,stockton,ca
allah ave,harrodsburg,ky
core,lancaster,ny
central bus dist (fs),dayton,tn
erieview no 2,cleveland,oh
northside,salisbury,md
west end,boston,ma
elsmere,glassboro,nj
south of market,san francisco,ca
neighborhood dev prog,gulfport,ms
code enforcement proj,peoria,il
center punch,elyria,oh
demonstration project,urbana,il
roslyn plaza,north hempstead,ny
downtown,laurinburg,nc
murchison rd,fayetteville,nc
business,belding,mi
area no 12,baltimore,md
lackawanna plaza,montclair,nj
downtown (gn),greensboro,nc
neighborhood dev prog,seattle,wa
sweden street,caribou,me
lykens dis area,lykens bor,pa
central bus dist (fs),malden,ma
neighborhood dev prog,alliance,oh
wilmerding no 1,wilmerding,pa
la pica,vega baja,pr
court ave area,memphis,tn
luna,moca,pr
downtown,richmond,va
charter oak - sc green 1,harford,ct
east main st,new britain,ct
genesee gateway,rochester,ny
berkley ave,south norfolk,va
church st,new haven,ct
government center,boston,ma
neigborhood dev prog,clinton twp,mi
mcclellen st,west point,ms
project no 1,warner robins,ga
neighborhood dev prog,jefferson city,mo
expressway (gn),worcester,ma
pear orchard area,bainbridge,ga
old louisville rest area project 1,louisville,ky
community renewal prog,malden,ma
linwood joy,somerville,ma
cedar lake,cedar rapids,ia
central bus dist,sylacauga,al
boulevard ave,dickson city,pa
gunckel,toledo,oh
church-water st. area,naugatuck,ct
thompson town,bessemer,al
crag rock,sparta,tn
community renewal prog,carteret,nj
arch st,demopolis,al
central miami (gn),miami,fl
code enforcement proj,mount vernon,ny
john st,princeton,nj
community renewal prog,portland,or
north main st (fs),hazard,ky
central downtown,fairbanks,ak
harvard ave (gn),college park,ga
community renewal prog,williamsport,pa
community renewal prog,philadelphia,pa
harlem park no 1,baltimore,md
southeastern no 1,douglas,ga
neighborhood dev prog,new york,ny
demolition project,portland,me
jamaica plains,boston,ma
washington square,grand rapids,mi
downtown no 1,syracuse,ny
northside no 1,portsmouth,va
westgate,monessen,pa
central bus dist,opelika,al
central bus dist,wixom,mi
community renewal prog,trenton,nj
humphrey-william st,englewood,nj
neighborhood dev prog,plainfield,nj
central-waterfront,new bern,nc
meridian proj no 1,meridian,ms
plaza,oil city,pa
west end (gn),washington,nc
hamilton park,franklin twp,nj
mt winans,baltimore,md
roosevelt-halsted (gn),chicago,il
arverne,new york,ny
neighborhood dev prog,freeport,pa
commercial center,bradford,pa
college rahabilitation,plattburgh,ny
east winston (gn),winston-salem,nc
citrus city no 1,mission,tx
downtown no 1,colton,ca
code enforcement proj,baton rouge,la
east side,kansas city,mo
hermosa homes no 1,calexico,ca
myrtle - walnut bch,milford,ct
southeast (gn),gainesville,ga
nor-center no 1,norwood,oh
fulton-john st,lakewood twp,nj
tandy (gn),saint louis,mo
mid-city,rockville,md
alto de cuba,vega alta,pr
grant st,lincoln heights,oh
yorktown heights,yorktown,ny
community renewal prog,oklahoma city,ok
hurricane camille (fs),biloxi,ms
the crescent,ogdensburg,ny
central,little rock,ar
civic center,bethlehem,pa
harrison center,high point,nc
neighborhood dev prog,lynchburg,va
neighborhood dev prog,talladega,al
ghent ngh consrvn,norfolk,va
riverview,clarksville,tn
central east (fs),fall river,ma
gateway,kansas city,ks
town sqaure gen (gn),jacksonville,il
western addition no a2,san francisco,ca
commerce ave,fairfield,al
southwest,marietta,ga
cummerland center (gn),cumberland,md
broad st east,grove city,pa
southeast quadrant,stamford,ct
fairmount,newark,nj
lacey gardens,warminster twp,pa
center st,new castle,pa
seaboard,lawrenceville,ga
west kirkham ave,webster groves,mo
downtown,hammond,in
greentown ur area,manchester,ga
central city,east saint louis,il
neighborhood dev prog,jacksonville,fl
neighborhood dev prog,bluefield,wv
demolition project,decatur,il
code enforcement proj,fort pierce,fl
machuelo,ponce,pr
franklin,philadelphia,pa
north second street,union city,tn
pratt city no 1,birmingham,al
community renewal prog,west orange,nj
uptown,atlantic city,nj
dyer lane,wilkes barre,pa
community renewal prog,petersburg,va
railroad avenue,bridgeport,ct
barriada sanchez,cayey,pr
community renewal prog,pontiac,mi
neighborhood dev prog,lexington,ky
neighborhood dev prog,santa maria,ca
central plaza,ilion,ny
community renewal prog,los angeles,ca
cartier ave,north las vegas,nv
main st,little falls,ny
southwest corry,corry,pa
wildwood indus pk (fs),sheboygan,wi
hepburn st,williamsport,pa
midtown,milwaukee,wi
downtown,jasper,al
main st,palmyra,ny
underhill,tarrytown,ny
west side no 2,bridgeport,ct
north wall st,carbondale,il
downtown bath,bath,me
meridien city gnrp,meridien,ks
south campus,berkeley,ca
botany,clifton,nj
south main st,butler,pa
area b,johnstown,pa
beacon hill no 3,decatur,ga
central bus area,paterson,nj
downtown east,roanoke,va
broadway-essex,lawrence,ma
central rutland ur proj,rutland,vt
central,ellenville,ny
belleview,pulaski,tn
john fitch way no 2,trenton,nj
kendall square (fs),cambridge,ma
yale ave ur proj,knoxville,tn
turnagain (fs),anchorage,ak
neighborhood dev prog,richmond,in
park center,san jose,ca
industrial park no 1,north union twp,pa
central,rock falls,il
community renewal prog,savannah,ga
washington school (gn),laporte,in
south end no 2,albany,ny
central bus dist (fs),north wilkesboro,nc
cantera no 2,ponce,pr
diamond heights,san francisco,ca
community renewal prog,san mateo,ca
central bus dist no 1,bristol,va
fort stanwix c b d,rome,ny
downtown northwest,casper,wy
pine hill,sylacauga,al
area no 4,baltimore,md
central city,scranton,pa
central business dist,manville,nj
front street,camden,nj
community renewal prog,richmond,ca
downtown,olathe,ks
community renewal prog,dubuque,ia
demolition project,atlanta,ga
market st west,johnstown,pa
downtown,winona,mn
project no 1,utica,ny
east lehigh,coaldale,pa
west side (gn),scranton,pa
hempstead center,hempstead village,ny
community renewal prog,gary,in
bristol center,bristol,ct
neighborhood dev prog,east palo alto,ca
central bus area 1b,paterson,nj
riverfront,louisville,ky
neighborhood dev prog,moberly,mo
juan veramendi,san marcos,tx
anacostia-bolling (fs),washington,dc
auditorium,saint paul,mn
neighborhood dev prog,athens,ga
tyler park area,paducah,ky
north end,long branch,nj
neighborhood dev prog,henryetta,ok
neighborhood dev prog,melbourne,fl
river view,millville,nj
dewey,waco,tx
university,scranton,pa
old west end consrvn,toledo,oh
code enforcement proj,pottstown,pa
west mill creek,philadelphia,pa
bruce gnr area,dyersburg,tn
code enforcement proj,white settlement,tx
la machina-concadito,bayamon,pr
community renewal prog,benton harbor,mi
river hills no 1,des moines,ia
certified area prog,trenton,nj
commonwealth,roanoke,va
code enforcement proj,lawrence,ma
raupp no 3,lincoln park,mi
neighborhood dev prog,johnson city,tn
court ave proj area no 1,memphis,tn
new york univ-bellvue,new york,ny
northeast,reno,nv
project g,huntington,wv
new street,metuchen,nj
south cedar ave,south pittsburg,tn
brooklyn sec 2,charlotte,nc
highspire dis area,highspire,pa
demolition project,grand rapids,mi
panola heights (gn),tarboro,nc
west colfax industrial redev proj,denver,co
demolition project,belmond,ia
southside,greenville,nc
harbor project,port hueneme,ca
el bosque,ponce,pr
edwardsville dis area,edwardville borough,pa
ardmore business dist,lower merion township,pa
code enforcement proj,newbern,tn
southwest area,phoenix,az
charlestown (gn),boston,ma
dyer school no 1,bloomington,in
fourth ward,fitzgerald,ga
southwest (gn),statesville,nc
elbert st,elberton,ga
second armourdale,kansas city,ks
chapin st,south bend,in
woodbridge green,woodbridge twp,nj
community renewal prog,kansas city,mo
vistula meadows,toledo,oh
berkley,franklin,va
demostration project,pittsburgh,pa
neighborhood dev prog,greensboro,nc
downtown waterfront,boston,ma
sopris (mc),trinidad,co
central bus dist,biloxi,ms
bluff plaza,joliet,il
north side,buchanan,mi
east market st,potsdam,ny
eyre park dis area,chester,pa
hudson shores,watervliet,ny
northside (gn),russellville,ar
fort greene,new york,ny
huntingdon flood di,huntingdon bor,pa
south boston (gn),boston,ma
neighborhood dev prog,visalia,ca
selma (fs),selma,al
code enforcement proj,tulsa,ok
pike ave,north little rock,ar
central city,tallahassee,fl
west side no 1,bridgeport,ct
neighborhood dev prog,provo,ut
bayview bluff area,corpus christi,tx
community renewal prog,iowa city,ia
central police facilty,new orleaans,la
code enforcement proj,bristol twp,pa
malcolm manor,elyria,oh
armourdale east,kansas city,ks
old louisville rest area,louisville,ky
downtown no 3,newport news,va
north henry st,morristown,tn
taylor st,guntersville,al
d-6 neighborhood,lawton,ok
concord-lowell sts,manchester,nh
southwest mo state col,springfield,mo
merrimack,haverhill,ma
oriskany plaza,utica,ny
west central no 1,goldsboro,nc
brooklyn sec 4,charlotte,nc
south humboldt,kansas city,mo
neighborhood dev prog,crestline,oh
neighborhood dev prog,tulare,ca
northside no 1,wilmington,nc
park plaza (gn),wichita,ks
educational center,newark,nj
shady park,london,oh
boulevard east,west new york,nj
neighborhood dev prog,bradenton,fl
riverview,memphis,tn
lower hill,pittsburgh,pa
project forward,tucumcari,nm
